,Unnamed: 0,User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Sum_purchase,GenderInt,AgeInt,Count_purchase
0,0,1000001,F,0-17,10,0,2,0,333481,1,0,34.0
1,1,1000002,M,55+,16,2,4,0,810353,0,6,76.0
2,2,1000003,M,26-35,15,0,3,0,341635,0,2,29.0
3,3,1000004,M,46-50,7,1,2,1,205987,0,4,13.0
4,4,1000005,M,26-35,20,0,1,1,821001,0,2,106.0
5,5,1000006,F,51-55,9,0,1,0,379450,1,5,46.0
6,6,1000007,M,36-45,1,1,1,1,234427,0,3,16.0
7,7,1000008,M,26-35,12,2,4,1,796545,0,2,76.0
8,8,1000009,M,26-35,17,2,0,0,593960,0,2,57.0
9,9,1000010,F,36-45,1,1,4,1,2169486,1,3,222.0
10,10,1000011,F,26-35,1,2,1,0,556902,1,2,69.0
11,11,1000012,M,26-35,12,2,2,0,120801,0,2,11.0
12,12,1000013,M,46-50,1,2,3,1,713927,0,4,60.0
13,13,1000014,M,36-45,0,2,0,0,127629,0,3,13.0
14,14,1000015,M,26-35,7,0,1,0,1047124,0,2,116.0
15,15,1000016,F,36-45,0,2,0,1,150428,1,3,21.0
16,16,1000017,M,51-55,1,2,0,0,1425501,0,5,114.0
17,17,1000018,F,18-25,3,1,3,0,1978675,1,1,179.0
18,18,1000019,M,0-17,10,0,3,0,1457938,0,0,144.0
19,19,1000020,M,26-35,14,0,0,0,185747,0,2,12.0
20,20,1000021,M,18-25,16,1,0,0,126744,0,1,13.0
21,21,1000022,M,18-25,15,0,4,0,1279678,0,1,155.0
22,22,1000023,M,36-45,0,1,3,1,1670998,0,3,171.0
23,23,1000024,F,26-35,7,0,3,1,720850,1,2,76.0
24,24,1000025,M,18-25,4,2,4,0,534215,0,1,43.0
25,25,1000026,M,26-35,7,1,2,1,1606174,0,2,226.0
26,26,1000027,M,26-35,11,2,1,1,448562,0,2,41.0
27,27,1000028,F,26-35,1,2,2,1,516560,1,2,57.0
28,28,1000029,M,36-45,7,2,1,0,696201,0,3,52.0
29,29,1000030,F,36-45,7,2,3,0,260985,1,3,30.0
30,30,1000031,M,55+,7,2,2,0,496154,0,6,64.0
31,31,1000032,F,26-35,0,2,3,1,229000,1,2,23.0
32,32,1000033,M,46-50,3,0,1,1,1940043,0,4,215.0
33,33,1000034,F,18-25,0,0,0,0,807747,1,1,99.0
34,34,1000035,M,46-50,1,2,4,1,821303,0,4,111.0
35,35,1000036,M,26-35,3,1,0,0,2316532,0,2,199.0
36,36,1000037,F,26-35,9,2,1,0,248370,1,2,30.0
37,37,1000039,M,18-25,4,1,2,0,381977,0,1,40.0
38,38,1000041,F,18-25,4,2,3,0,146237,1,1,15.0
39,39,1000042,M,26-35,8,2,0,1,1483009,0,2,124.0
40,40,1000043,M,26-35,12,0,0,0,137548,0,2,13.0
41,41,1000044,M,46-50,17,1,3,1,1180380,0,4,120.0
42,42,1000045,F,46-50,16,0,1,1,928494,1,4,162.0
43,43,1000046,M,18-25,19,2,4,0,138367,0,1,20.0
44,44,1000047,M,18-25,4,2,4,1,131303,0,1,14.0
45,45,1000048,M,26-35,4,1,3,1,2787911,0,2,337.0
46,46,1000049,M,18-25,12,2,4,1,731991,0,1,59.0
47,47,1000050,F,26-35,2,0,1,1,198798,1,2,24.0
48,48,1000051,F,0-17,10,2,2,0,200772,1,0,25.0
49,49,1000052,M,18-25,4,2,0,0,523039,0,1,42.0
50,50,1000053,M,26-35,0,1,1,0,4270371,0,2,377.0
51,51,1000054,M,51-55,1,2,4,1,187201,0,5,23.0
52,52,1000055,F,36-45,12,1,1,0,134073,1,3,13.0
53,53,1000056,M,36-45,20,2,0,1,382860,0,3,37.0
54,54,1000057,M,18-25,19,2,2,0,312571,0,1,42.0
55,55,1000058,M,26-35,2,1,3,0,2896341,0,2,260.0
